id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
148,671,0.99,0.84,0.42,1738.5,1256.25,2075.7,54.13,52.47,21.92,0.7,0.84,1.36
149,679,0.92,0.87,0.27,1470.01,1359.0,696.49,55.39,52.09,13.21,0.82,0.87,1.05
150,713,0.89,0.74,0.46,1930.01,1754.33,1214.23,61.77,67.04,19.42,0.56,0.74,0.98
151,745,0.7,0.66,0.25,2143.17,1984.0,833.73,69.53,74.02,13.88,0.57,0.66,0.77
153,740,0.38,0.38,0.0,221276.0,221276.0,0.0,62.03,62.03,0.0,0.38,0.38,0.38
162,663,0.81,0.64,0.55,2325.4,2231.88,1378.06,61.1,68.41,20.09,0.53,0.64,0.91
163,648,0.96,0.75,0.49,1589.36,1472.0,878.09,59.55,67.13,18.27,0.61,0.75,1.22
167,640,0.98,0.92,0.37,1371.83,1019.5,659.46,63.7,62.6,16.37,0.66,0.92,1.19
172,654,1.17,0.92,0.73,1866.8,1170.0,2225.4,50.88,54.15,17.93,0.63,0.92,2.01
173,664,0.93,0.91,0.32,1542.58,1216.41,818.88,58.52,59.76,12.17,0.7,0.9,1.05
174,676,0.82,0.74,0.32,2201.73,1611.5,1581.94,58.71,65.44,18.09,0.69,0.74,0.94
175,684,0.82,0.77,0.33,1668.03,1273.25,1024.16,62.05,60.02,18.9,0.58,0.77,0.99
176,691,0.7,0.71,0.29,2232.87,2112.25,963.51,65.76,70.73,16.82,0.47,0.7,0.82
177,686,0.99,1.03,0.21,1324.68,1285.0,526.15,62.16,62.65,9.17,0.79,1.03,1.07
178,682,0.74,0.72,0.28,2124.65,1823.0,1193.95,63.48,65.81,12.28,0.61,0.72,0.85
179,731,0.69,0.74,0.23,2564.78,2170.33,1420.14,67.98,71.93,14.33,0.52,0.74,0.78
180,733,0.67,0.65,0.18,2459.0,2237.5,1347.46,67.63,70.89,17.82,0.52,0.65,0.8
182,735,0.88,0.88,0.4,1693.49,1230.0,1130.09,66.49,73.07,18.43,0.62,0.88,0.95
183,748,1.68,1.68,0.0,601.31,601.31,0.0,26.19,26.19,0.0,1.68,1.68,1.68
184,656,0.97,0.85,0.29,1495.44,1637.0,576.45,58.62,59.11,11.33,0.82,0.85,1.07
185,683,0.83,0.85,0.36,1794.49,1629.0,791.12,56.86,61.44,18.71,0.66,0.85,0.94
186,715,0.81,0.81,0.2,1790.73,1363.0,1013.28,63.91,66.38,13.15,0.72,0.81,0.92
187,722,0.65,0.66,0.18,2584.69,2373.0,1014.32,70.09,70.59,6.76,0.55,0.66,0.78
188,726,0.82,0.82,0.26,2508.86,1571.5,2226.21,68.0,71.59,11.65,0.63,0.82,1.02
189,730,0.87,0.9,0.22,1586.48,1514.41,591.26,61.72,69.98,20.13,0.66,0.9,0.97
190,736,0.72,0.7,0.19,2366.1,2443.0,1103.31,71.02,72.74,9.72,0.6,0.7,0.84
191,732,1.26,1.26,0.23,989.68,986.33,242.24,50.78,52.21,17.18,1.06,1.26,1.41
192,744,1.06,0.91,0.45,1336.64,645.0,894.63,64.02,70.74,18.16,0.65,0.91,1.58
193,670,0.86,0.88,0.31,1894.88,2229.0,761.23,59.53,61.9,14.24,0.63,0.88,0.96
195,657,0.78,0.82,0.13,1648.56,1450.0,420.6,50.52,53.36,18.54,0.72,0.82,0.86
196,709,0.94,0.92,0.19,1330.42,1382.5,311.92,55.64,56.82,6.1,0.79,0.92,0.95
197,712,0.78,0.78,0.19,1896.5,1756.5,600.13,68.53,69.2,10.81,0.62,0.78,0.92
200,681,0.38,0.38,0.15,68502.5,68502.5,10088.5,86.28,86.28,9.26,0.3,0.38,0.45
228,405,0.92,1.02,0.24,4225.6,4254.0,2217.07,58.83,63.08,13.79,0.87,1.02,1.06
