id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
968,103-107,Cottage St,16,C,660,6,3,560,2163,1492,Cambridgeport,3.0,0.69,2163.0,74.11,-71.1062603469,42.36269065
9812,103-108,Cottage St,20,C,660,11,4,1259,1949,2509,Cambridgeport,0.0,1.29,974.5,35.4,-71.1064598582,42.3628423155
7832,103-109,Cottage St,20-A,C,660,7,4,845,2535,1827,Cambridgeport,2.25,0.72,2535.0,66.67,-71.106647314,42.3626600607
12557,103-110,Perry St,15,C,660,8,5,1104,4378,2531,Cambridgeport,2.25,0.58,4378.0,74.78,-71.10668301,42.3621236024
6086,103-111,Perry St,13,C,660,6,4,608,2208,1368,Cambridgeport,2.25,0.62,2208.0,72.46,-71.1064039298,42.3623172998
131,103-112,Pearl St,189,C,692,15,7,4704,4999,4704,Cambridgeport,0.0,0.94,2499.5,5.9,-71.1076352711,42.3602127677
6317,103-113,Corporal Mcternan St,20,C,692,210,97,10734,30142,57209,Cambridgeport,0.0,1.9,717.67,64.39,-71.1078722992,42.3609463743
4214,103-117,Pearl St,123,C,660,16,7,3073,3215,3073,Cambridgeport,0.0,0.96,1607.5,4.42,-71.1059774988,42.3618357667
8292,103-13,Erie St,195,C,692,11,6,1277,4999,3050,Cambridgeport,2.5,0.61,2499.5,74.45,-71.1078824749,42.3603084345
4370,103-14,Erie St,205,C,692,28,12,6052,9001,6052,Cambridgeport,0.0,0.67,2250.25,32.76,-71.1080410596,42.3604927346
11101,103-16,Erie St,209,C,692,8,3,918,3514,2118,Cambridgeport,2.5,0.6,1757.0,73.88,-71.1083072715,42.3605425164
4003,103-17,Erie St,211,C,692,8,4,898,2537,2078,Cambridgeport,2.5,0.82,1268.5,64.6,-71.1083278578,42.3605549654
11198,103-18,Erie St,215,C,692,12,4,1084,4989,2688,Cambridgeport,3.0,0.54,2494.5,78.27,-71.1085049001,42.3606546521
4825,103-19,Erie St,217,C,692,9,4,1168,5030,2313,Cambridgeport,2.25,0.46,5030.0,76.78,-71.108462353,42.3608914441
3168,103-22,Lawrence St,12,C,686,17,11,1427,5024,3833,Cambridgeport,2.75,0.76,2512.0,71.6,-71.1070235465,42.3612055971
4918,103-24,Pearl St,157,C,686,15,9,1204,4581,3612,Cambridgeport,3.0,0.79,1527.0,73.72,-71.1068620612,42.360928791
11624,103-25,Pearl St,161,C,686,None,None,1800,4624,3600,Cambridgeport,1.0,0.78,924.8,61.07,-71.1069615828,42.3608425478
10660,103-26,Pearl St,169,C,686,18,10,1590,4608,4950,Cambridgeport,0.0,1.07,1152.0,65.49,-71.1070916668,42.3606969421
