zone,far_min,far_max,far_mean,far_median,far_stddev,ladu_min,ladu_max,ladu_mean,ladu_median,ladu_stddev,os_min,os_max,os_mean,os_median,os_stddev,far_75,far_80,far_90,ladu_75,ladu_80,ladu_90,os_75,os_80,os_90
O-3A,0.0,19.95,5.08,4.49,5.13,139.45,168161.0,39184.36,30928.08,41234.13,1.95,99.86,-28.47,23.98,252.62,6.44,7.25,9.48,9756.3,8241.31,4547.07,6.88,4.15,2.05
OS,0.0,0.48,0.22,0.05,0.22,83345.0,3351920.0,713760.43,278786.0,1088548.62,83.26,99.94,94.06,96.4,5.92,0.45,0.47,0.48,147604.5,110169.6,84465.8,91.08,88.67,85.54
SD-1,0.06,3.95,2.01,2.01,1.08,113.42,32681.0,8872.21,347.89,11106.45,49.74,100.0,69.21,63.2,18.73,2.57,2.66,3.02,241.21,225.71,184.65,53.35,53.1,52.13
SD-10(F),0.63,0.63,0.63,0.63,0.0,79919.0,79919.0,79919.0,79919.0,0.0,36.79,36.79,36.79,36.79,0.0,0.63,0.63,0.63,79919.0,79919.0,79919.0,36.79,36.79,36.79
SD-10(H),0.56,1.65,0.98,0.88,0.29,756.0,37844.0,12253.33,5669.5,12261.72,11.33,78.2,32.91,29.77,29.3,1.12,1.16,1.33,3915.86,1867.35,1024.44,20.49,18.27,11.94
SD-11,0.29,2.2,1.43,1.61,0.71,11678.0,29620.0,20735.0,20821.0,6650.46,3.58,71.41,39.42,41.35,31.55,1.91,1.97,2.08,16418.75,15470.6,13574.3,10.26,8.93,6.25
SD-12,0.09,0.09,0.09,0.09,0.0,16306.17,16306.17,16306.17,16306.17,0.0,35.61,35.61,35.61,35.61,0.0,0.09,0.09,0.09,16306.17,16306.17,16306.17,35.61,35.61,35.61
SD-13,0.48,0.48,0.48,0.48,0.0,54972.0,54972.0,54972.0,54972.0,0.0,89.17,89.17,89.17,89.17,0.0,0.48,0.48,0.48,54972.0,54972.0,54972.0,89.17,89.17,89.17
SD-14,0.21,3.32,1.01,0.85,0.69,204.89,6229.5,1804.25,1333.0,1460.97,38.97,94.35,69.4,70.54,16.27,1.22,1.27,1.63,966.62,930.4,594.95,56.03,53.3,49.59
SD-15,2.58,3.04,2.81,2.81,0.23,14833.0,151257.0,83045.0,83045.0,68212.0,11.22,66.33,38.77,38.77,27.55,2.92,2.95,2.99,48939.0,42117.8,28475.4,25.0,22.24,16.73
SD-2,0.36,1.67,0.76,0.68,0.33,773.44,6966.0,2137.83,1950.0,1179.32,27.93,99.1,69.79,69.03,14.7,0.98,1.08,1.17,1441.5,1329.5,1061.0,61.12,59.2,54.81
SD-3,0.04,2.05,0.82,0.38,0.88,2936.5,345417.0,131159.17,45124.0,152478.98,48.66,92.39,74.73,83.13,18.82,1.21,1.38,1.72,24030.25,19811.5,11374.0,65.9,62.45,55.55
SD-4,1.8,4.29,3.14,3.31,0.85,315.33,64558.0,21196.93,14403.0,22452.78,34.46,54.86,44.41,43.85,7.68,3.63,3.76,4.03,9156.67,7388.4,3851.87,37.88,37.2,35.83
SD-4A,0.81,1.4,1.1,1.1,0.29,521.22,763.72,642.47,642.47,121.25,65.99,94.38,80.19,80.19,14.2,1.25,1.28,1.34,581.84,569.72,545.47,73.09,71.67,68.83
SD-5,1.32,2.05,1.69,1.69,0.36,44677.0,100487.0,72582.0,72582.0,27905.0,51.38,51.72,51.55,51.55,0.17,1.87,1.9,1.98,58629.5,55839.0,50258.0,51.46,51.45,51.41
SD-6,0.58,4.71,2.13,2.07,1.31,149.1,26055.0,13642.44,21600.0,11586.57,28.44,77.49,43.56,39.24,24.5,2.64,2.86,3.68,430.0,326.19,213.83,32.29,29.98,16.88
SD-7,1.98,7.69,4.37,3.44,2.42,2994.5,143680.0,51794.17,8708.0,65014.95,1.15,94.61,9.71,1.15,66.1,5.56,5.99,6.84,5851.25,5279.9,4137.2,-32.74,-39.51,-53.07
SD-8,0.43,3.95,1.77,1.65,0.87,179.17,185878.0,31759.71,13249.5,46984.02,2.07,95.36,44.49,40.79,27.65,2.36,2.52,2.57,6181.16,794.51,322.17,26.66,23.38,8.95
SD-8A,0.43,1.65,0.99,0.96,0.34,563.69,13340.0,6793.55,6870.0,5378.22,1.97,91.42,45.31,55.68,34.68,1.09,1.18,1.46,1312.5,1096.37,790.0,9.04,6.93,1.77
SD-9,0.38,1.9,1.03,0.93,0.4,475.0,23812.0,2737.9,1360.0,4573.17,6.1,80.57,51.2,57.75,23.09,1.28,1.35,1.57,773.33,738.4,565.95,40.61,37.95,22.93
