id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
692,75,0.62,0.6,0.24,3487.86,2928.34,2128.87,72.68,72.72,8.41
693,85,0.67,0.64,0.24,3154.78,2331.0,2361.87,70.71,69.54,8.81
694,94,0.96,1.03,0.16,1884.3,1399.5,721.96,53.21,56.7,12.35
698,134,0.92,0.64,0.78,2733.83,2499.5,2153.79,69.48,76.62,19.52
699,149,1.01,0.83,0.57,2024.98,1749.0,1174.59,59.32,66.17,17.17
700,176,1.07,1.07,0.42,1786.75,1786.75,338.25,62.02,62.02,6.6
701,193,0.92,0.81,0.42,1992.37,1654.75,1321.47,61.49,64.55,16.93
702,207,0.73,0.64,0.22,1961.37,1724.5,546.75,68.51,74.17,14.89
703,222,0.44,0.43,0.06,8514.69,8632.5,2796.81,81.25,82.66,3.46
704,223,0.28,0.28,0.08,11882.38,9003.25,6082.47,87.44,87.92,4.28
705,251,0.48,0.51,0.1,4864.2,4693.0,1239.65,77.55,78.65,9.55
707,278,1.02,1.0,0.18,1221.32,1074.0,522.5,59.98,59.64,7.69
708,303,0.84,0.83,0.14,1676.88,1606.16,711.63,69.16,68.9,6.83
709,308,0.79,0.77,0.1,2075.42,1845.0,701.73,68.33,69.35,7.18
711,346,1.22,1.25,0.24,1039.44,861.5,294.09,52.02,50.95,4.84
713,341,0.7,0.6,0.15,2610.33,2880.0,937.74,65.58,69.27,7.77
714,340,1.22,0.91,0.56,1216.42,782.75,871.15,46.09,49.22,21.44
715,339,1.13,1.02,0.37,1359.31,1141.62,745.61,53.39,54.91,16.76
716,338,0.96,0.82,0.44,1677.64,1138.25,1383.37,58.44,59.19,9.94
717,342,0.8,0.74,0.3,1557.18,1369.0,603.94,61.67,66.81,17.97
718,347,0.97,0.87,0.34,1064.22,883.5,545.41,53.17,56.5,18.48
722,359,0.89,0.8,0.36,1675.77,1360.0,1044.74,62.85,65.61,13.87
723,361,0.94,0.94,0.36,1143.25,899.5,495.32,63.17,59.65,11.03
724,363,0.7,0.64,0.36,2278.68,1209.5,1942.13,65.3,72.15,20.96
727,369,0.99,0.87,0.53,1453.93,1630.0,556.83,54.7,53.36,14.76
736,387,0.3,0.3,0.07,11318.83,10593.5,3517.59,85.65,86.2,3.3
737,274,0.56,0.54,0.21,2523.34,2499.5,951.39,76.93,77.5,8.55
738,271,0.63,0.64,0.18,2383.12,2037.25,1259.09,71.86,71.64,10.36
739,326,0.53,0.46,0.2,3478.56,3463.62,2088.21,65.04,80.9,29.18
740,311,0.61,0.64,0.19,2454.48,1753.75,1566.42,72.98,72.03,10.55
741,315,0.65,0.58,0.12,1752.94,1449.66,611.93,74.9,75.43,2.48
742,267,0.5,0.48,0.17,2677.73,2062.5,1379.75,74.87,76.41,6.64
743,232,0.67,0.65,0.23,2398.33,1998.75,1399.66,67.68,72.0,13.44
744,140,0.21,0.19,0.06,10680.47,10080.0,2371.16,84.67,84.1,3.16
745,108,0.24,0.23,0.09,10808.29,10654.0,717.01,84.37,84.05,3.12
747,70,0.39,0.37,0.12,3791.06,3999.0,1155.54,78.97,80.48,7.09
748,58,0.38,0.36,0.17,3849.91,3800.75,1558.1,78.33,78.19,4.96
749,46,0.41,0.44,0.13,3657.66,2701.75,1507.33,79.4,79.7,5.19
