5487,209-48,Bates St,4,A-2,175,14,6,0,7231,3491,Neighborhood Nine,2.0,TWO-FAM-RES,0.48,3615.5,100.0,-71.1243023162,42.3842808503
6227,210-17,Hillside Pl,6,A-2,129,None,None,1519,4641,1519,Neighborhood Nine,2.75,Private Elementary Education,0.33,4641.0,67.27,-71.1245880147,42.3860926686
8195,210-33,Washington Ave,88,A-2,125,16,8,4983,10382,4983,Neighborhood Nine,0.0,CONDO-BLDG,0.48,5191.0,52.0,-71.1235091305,42.3863242474
9120,210-52,Hillside Pl,1,A-2,129,12,6,3264,5742,3264,Neighborhood Nine,0.0,CONDO-BLDG,0.57,2871.0,43.16,-71.1245172708,42.3859128693
4552,210-55,Hillside Ave,25,A-2,129,12,5,3522,6264,3522,Neighborhood Nine,0.0,CONDO-BLDG,0.56,3132.0,43.77,-71.124287131,42.3852973749
7258,210-58,Washington Ave,83,A-2,129,20,10,7407,20000,7407,Neighborhood Nine,0.0,CONDO-BLDG,0.37,10000.0,62.97,-71.124300045,42.3860936687
2366,210-9,Washington Ave,71,A-2,129,9,4,1709,14240,4409,Neighborhood Nine,3.0,TWO-FAM-RES,0.31,14240.0,88.0,-71.1236216881,42.3858762186
504,211-1,Hillside Ave,30,A-2,157,16,7,4886,10349,4886,Neighborhood Nine,0.0,CONDO-BLDG,0.47,5174.5,52.79,-71.1242101019,42.3850677396
12564,211-15,Avon Pl,14,A-2,157,13,6,4415,6400,4415,Neighborhood Nine,0.0,CONDO-BLDG,0.69,3200.0,31.02,-71.1236270597,42.3846018059
10117,211-17,Avon Hill St,32,A-2,157,15,8,5182,7720,5182,Neighborhood Nine,0.0,CONDO-BLDG,0.67,3860.0,32.88,-71.1239745443,42.3843150823
6643,211-20,Avon Hill St,48,A-2,157,15,4,1456,4999,3420,Neighborhood Nine,2.75,TWO-FAM-RES,0.68,2499.5,70.87,-71.1242288036,42.3848071681
6430,211-21,Lancaster St,34,A-2,156,15,8,4734,11699,4734,Neighborhood Nine,0.0,CONDO-BLDG,0.4,5849.5,59.54,-71.1224740711,42.385190225
9043,211-24,Agassiz St,19,A-2,156,None,None,6921,9117,21647,Neighborhood Nine,3.0,>8-UNIT-APT,2.37,506.5,24.09,-71.1220127933,42.3848940941
11892,211-34,Washington Ave,26,A-2,156,11,7,1664,22187,5232,Neighborhood Nine,2.5,MULT-RES-1FAM,0.24,22187.0,92.5,-71.1225459123,42.3848542792
10528,211-54,Washington Ave,33,A-2,157,27,10,2270,13022,8230,Neighborhood Nine,0.0,CONDO-BLDG,0.63,2170.33,82.57,-71.1231300748,42.3849022724
5905,211-56,Avon Pl,6,A-2,157,16,6,2946,7899,3168,Neighborhood Nine,0.0,CONDO-BLDG,0.4,3949.5,62.7,-71.1234606595,42.3842903994
12358,216-15,Berkeley St,19,A-2,261,18,8,3000,14618,5800,West Cambridge,0.0,CONDO-BLDG,0.4,7309.0,79.48,-71.1257009292,42.3786218959
7871,216-32,Berkeley St,23,A-2,261,14,5,2597,12718,5196,West Cambridge,0.0,CONDO-BLDG,0.41,6359.0,79.58,-71.1264346423,42.378929502
4705,217-12,Brattle St,113,A-1,265,None,None,5038,33907,14823,West Cambridge,3.0,Charitable Svc,0.44,33907.0,85.14,-71.1270877435,42.3769984766
6149,217-13,Brattle St,115,A-1,265,26,13,10371,37475,10371,West Cambridge,0.0,CONDO-BLDG,0.28,18737.5,72.33,-71.1275055706,42.3771239856
